name,genre,director,country,year,imdb_url,imdb_rating
Четыре,драма,Илья Хржановский,Россия;Нидерланды,2004,https://www.imdb.com/title/tt0445161/,6.5
4 листа фанеры,детектив,Иван Гаврилюк;Сайдо Курбанов,Украина,1992,https://www.imdb.com/title/tt6571730/,5.1
"4 месяца, 3 недели и 2 дня",психологическая;драма,Кристиан Мунджиу,,2007,https://www.imdb.com/title/tt1032846/,7.9
4 американских композитора,документальный;музыкальный,Питер Гринуэй,Великобритания,1983,https://www.imdb.com/title/tt0085562/,7.4
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982,https://www.imdb.com/title/tt0083512/,6.9
4 x 4,драма комедия,Рольф Клеменс Палле Кьерулф-Шмидт Мауну Куркваара,,1965,https://www.imdb.com/title/tt0058864/,6.8
4 дня в мае,военная;драма;боевик,Ахим фон Боррис,Германия;Украина;Россия,2011,https://www.imdb.com/title/tt1699202/,6.4
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,https://www.imdb.com/title/tt2123884/,4.6
4:44. Последний день на Земле,драма;фантастика,Абель Феррара,США,2011,https://www.imdb.com/title/tt1707391/,4.6
2:37,драматический фильм,Мулари К Теллури,,2006,https://www.imdb.com/title/tt0472582/,6.8
3 идиота,комедия;драма,Раджкумар Хирани,,2009,https://www.imdb.com/title/tt1187043/,8.4
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,https://www.imdb.com/title/tt0118540/,7.8
55 дней в Пекине,драма;исторический;военный,Николас Рэй,,1963,https://www.imdb.com/title/tt0056800/,6.7
2+1,драма;семейный,Хьюго Желен,Франция;Великобритания,2016,https://www.imdb.com/title/tt5078204/,7.3
50 таблеток,Драма,Тео Эвгерино,США,2006,https://www.imdb.com/title/tt0426462/,4.9
51,фантастика;фильм ужасов,Джейсон Коннери,США,2011,https://www.imdb.com/title/tt1629439/,3.5
40 дней и 40 ночей,кинокомедия,Майкл Леманн,,2002,https://www.imdb.com/title/tt0243736/,5.6
42 / Номер 42,драма;спортивный фильм,Брайан Хелгеленд,,2013,https://www.imdb.com/title/tt0453562/,7.5
47 ронинов,фэнтези;боевик;драма,Карл Ринш,США;Япония,2013,https://www.imdb.com/title/tt1335975/,6.2
42-я улица,комедия;мюзикл;мелодрама,Ллойд Бэкон;Басби Беркли;(муз номера),США,1933,https://www.imdb.com/title/tt0024034/,7.3
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,https://www.imdb.com/title/tt1441366/,7.8
45-й калибр,драма,Гари Леннон,США,2006,https://www.imdb.com/title/tt0259822/,5.5
44 минуты: Бойня в северном Голливуде,боевик драма криминал,Ив Симоно,,2003,https://www.imdb.com/title/tt0362389/,6.3
49 дней,драма;приключения,Генрих Габай,СССР,1962,https://www.imdb.com/title/tt0166942/,7.9
2pac: Легенда,байопик;драма;боевик,Бенни Бум,США,2017,https://www.imdb.com/title/tt1666185/,5.9
50 оттенков голубого,драма,Стюарт Мейн,Новая Зеландия,2005,https://www.imdb.com/title/tt0429482/,5.7
45 лет,драма,Эндрю Хэйг,Великобритания,2015,https://www.imdb.com/title/tt3544082/,7.1
38-я параллель,драма;боевик;военный,Кан Джегю,Республика Корея,2004,https://www.imdb.com/title/tt0386064/,8.0
40,детектив;триллер,Александр Галибин,Россия,2007,https://www.imdb.com/title/tt13374330/,5.8
39-я бригада,исторический фильм военный экранизация,Карой Макк,,1959,https://www.imdb.com/title/tt0052531/,6.8
50 первых поцелуев,романтическая комедия,Питер Сигал,США,2004,https://www.imdb.com/title/tt0343660/,6.8
36 безумных кулаков,боевик;комедия;драма,Чэнь Чжихуа,Гонконг,1977,https://www.imdb.com/title/tt0076661/,5.0
34-й скорый,Фильм-катастрофа,Андрей Малюков,СССР,1981,https://www.imdb.com/title/tt0081967/,6.3
31-й километр,ужасы;мистика,Ригоберто Кастаньеда,Мексика;Испания,2006,https://www.imdb.com/title/tt0460485/,5.3
32 декабря,комедия;фантастика,Александр Муратов,Россия,2004,https://www.imdb.com/title/tt0417390/,5.0
31,Фильм ужасов,Роб Зомби,США,2016,https://www.imdb.com/title/tt3835080/,5.1
33,драма,Патрисия Ригген,США;Чили;Колумбия,2015,https://www.imdb.com/title/tt2006295/,6.9
рус.,драма;мелодрама,Дени Вильнёв,Канада,1998,https://www.imdb.com/title/tt0156248/,6.5
31 июня,музыкальный фильм;мюзикл;);фэнтези,Леонид Квинихидзе,СССР,1978,https://www.imdb.com/title/tt0077114/,7.3
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,,2009,https://www.imdb.com/title/tt1499909/,6.3
30 свиданий,комедия;мелодрама,Татьяна Капитан,Россия,2016,https://www.imdb.com/title/tt5437194/,5.0
30 дней ночи,ужасы;драма;триллер,Дэвид Слейд,США;Новая Зеландия,2007,https://www.imdb.com/title/tt0389722/,6.6
30 дней до рассвета,фильм ужасов;комедия,Андерс Банке,Швеция,2006,https://www.imdb.com/title/tt0454457/,5.5
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,комедийный;фильм ужасов,Крэйг Мосс,США,2012,https://www.imdb.com/title/tt2417650/,2.6
30 дней ночи: Тёмные времена,триллер;фильм ужасов,Бен Кетай,США,2010,https://www.imdb.com/title/tt1320304/,4.3
29 Километр,драма;музыкальный фильм,Леонид Андронов,Россия,2012,https://www.imdb.com/title/tt2153518/,8.7
30 безумных желаний,независимый кинематограф,Питер Хатчингс,,2018,https://www.imdb.com/title/tt4859168/,6.9
28 дней спустя,постапокалиптический;фильм ужасов,Дэнни Бойл,Великобритания,2002,https://www.imdb.com/title/tt0289043/,7.5
28 недель спустя,постапокалиптический;фильм ужасов,Хуан Карлос Фреснадильо,Великобритания;США;Испания,2007,https://www.imdb.com/title/tt0463854/,6.9
29-я улица,комедия;драма,Джордж Галло,США,1991,https://www.imdb.com/title/tt0101252/,7.2
27 Секунд памяти,документальный,Иван Качалин,Россия;Чехия;Нидерланды,2019,https://www.imdb.com/title/tt10693092/,6.8
27-й день,научная фантастика,Уильям Эшер,,1957,https://www.imdb.com/title/tt0050085/,6.2
29 пальм,драма;роуд-муви,Брюно Дюмон,Франция;Германия;США,2003,https://www.imdb.com/title/tt0315110/,5.1
28 дней,драма;комедия,Бетти Томас,США,2000,https://www.imdb.com/title/tt0191754/,6.1
24-25 не возвращается,детективный фильм;драма,Алоиз Бренч;Ростислав Горяев,СССР,1968,https://www.imdb.com/title/tt0312292/,5.9
27 украденных поцелуев,комедия;драма;мелодрама,Нана Джорджадзе,Грузия;Франция;Германия;Россия,2000,https://www.imdb.com/title/tt0246405/,6.6
25 ватт,Комедийная драма,Хуан Пабло Ребелья;Пабло Столь,Уругвай,2001,https://www.imdb.com/title/tt0280381/,7.1
25-й час,криминальный фильм;драма,Спайк Ли,,2002,https://www.imdb.com/title/tt0307901/,7.6
24 часа из жизни женщины,комедия,Нэнси Савока,США,1999,https://www.imdb.com/title/tt0138279/,5.3
24 часа,боевик;драма,Александр Атанесян,Россия,2000,https://www.imdb.com/title/tt0260671/,6.0
24 часа,триллер,Луис Мандоки,США;Германия,2002,https://www.imdb.com/title/tt0280380/,6.1
27 свадеб,романтическая комедия,Энн Флетчер,США,2008,https://www.imdb.com/title/tt0988595/,6.1
24 недели,драматический фильм,Анна Зора Берашед,,2016,https://www.imdb.com/title/tt5369484/,7.2
"23 - Всё не то, чем кажется",триллер;драма,Ганс-Христиан Шмидт,Германия,1998,https://www.imdb.com/title/tt0126765/,7.2
22 пули: Бессмертный,триллер;детектив,Ришар Берри,Франция,2010,https://www.imdb.com/title/tt1167638/,6.6
22 минуты,боевик,Василий Сериков,Россия,2014,https://www.imdb.com/title/tt2856896/,5.3
24 кадра,драматический фильм,Аббас Киаростами,,май ,https://www.imdb.com/title/tt6777170/,6.8
21 мост,драма;триллер;детектив,Брайан Кирк,,2019,https://www.imdb.com/title/tt8688634/,6.6
22 мили,боевик;триллер,Питер Берг,США,2018,https://www.imdb.com/title/tt4560436/,6.1
21 ночь с Патти,комедия,Арно Ларье;Жан-Мари Ларье,Франция,2015,https://www.imdb.com/title/tt4022440/,6.2
21 грамм,Драма,Алехандро Гонсалес Иньярриту,США,2003,https://www.imdb.com/title/tt0315733/,7.6
20 тысяч разновидностей пчёл,драматический фильм;ЛГБТ-фильм,Эстибалис Урресола Солагурен,,2023,https://www.imdb.com/title/tt21113962/,6.9
20 сигарет,драма;комедия,Александр Горновский,Россия,2007,https://www.imdb.com/title/tt1179019/,5.4
21 и больше,комедия,Джон Лукас;Скотт Мур,США,2013,https://www.imdb.com/title/tt1711425/,5.8
22 июля,Драма,Пол Гринграсс,США,2018,https://www.imdb.com/title/tt7280898/,6.8
20 миллионов миль до Земли,научно-фантастический фильм;фильм о монстрах;фильм-катастрофа;приключенческий фильм;фэнтезийный фильм;фильм ужасов,Натан Юран,,1957,https://www.imdb.com/title/tt0050084/,6.3
20-е декабря,исторический фильм,Григорий Никулин,СССР,1981,https://www.imdb.com/title/tt0231006/,6.7
20 сантиметров,комедия;мюзикл,Рамон Саласар,Испания;Франция,2005,https://www.imdb.com/title/tt0421528/,6.6
20 дней в Мариуполе,документальный фильм;военный фильм,Мстислав Чернов,Украина,2023,https://www.imdb.com/title/tt24082438/,8.6
20 000 лье под водой,фантастика,Стюарт Патон,США,1916,https://www.imdb.com/title/tt0006333/,6.1
18-летняя девственница,комедия,Тамара Олсон,,2008,https://www.imdb.com/title/tt1294969/,2.9
20 000 лье под водой,драма;стимпанк;приключенческий фильм,Ричард Флейшер,США,1954,https://www.imdb.com/title/tt0046672/,7.2
20 000 лье под водой,криминальный фильм;драма;триллер,Род Харди,США,1997,https://www.imdb.com/title/tt0118248/,5.6
20 000 лет в Синг-Синге,Криминальная мелодрама;Тюремная драма,Майкл Кёртис,США,1932,https://www.imdb.com/title/tt0023731/,6.8
18-14,исторический;детектив;приключение,Андрес Пуустусмаа,Россия,2007,https://www.imdb.com/title/tt1183658/,6.1
20 000 дней на Земле,документальный;музыкальный,Айан Форсайт;Джейн Поллард,Великобритания,2014,https://www.imdb.com/title/tt2920540/,7.4
18 килогерц,драма,Фархат Шарипов,,2021,https://www.imdb.com/title/tt13259906/,6.7
«16 кварталов»,криминальный фильм;драма;триллер,Ричард Доннер,США,2006,https://www.imdb.com/title/tt0450232/,6.6
15 августа,комедия,Патрик Алессандрен,Франция,2001,https://www.imdb.com/title/tt0271935/,5.6
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023,https://www.imdb.com/title/tt16550728/,3.1
15 минут славы,Криминальная драма;боевик,Джон Херцфелд,США,2001,https://www.imdb.com/title/tt0179626/,6.1
18 мая,боевик;драма;военный;история,Ким Джи Хун,Республика Корея,2007,https://www.imdb.com/title/tt0800341/,6.9
17 девушек,драма,Дельфин Кулин;Мюриэль Кулин,Франция,2011,https://www.imdb.com/title/tt1860152/,6.0
14+,мелодрама,Андрей Зайцев,Россия,2015,https://www.imdb.com/title/tt4427076/,6.9
13-я жертва,ужасы,Мэл Хаус,США,2008,https://www.imdb.com/title/tt0473287/,2.3
14 клинков,боевик;триллер,Дэниел Ли,Гонконг;Китай,2010,https://www.imdb.com/title/tt1442571/,6.3
14 амазонок,приключенческий фильм;драма;военный фильм,Чэн Ган;Дун Шаоюн,Гонконг,1972,https://www.imdb.com/title/tt0187499/,6.6
14 июля,комедия,Рене Клер,Франция,1933,https://www.imdb.com/title/tt0024480/,7.0
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,Франция;Канада,2014,https://www.imdb.com/title/tt1430612/,5.6
13-й район: Ультиматум,боевик,Патрик Алессандрен;фр;Patrick Alessandrin,Франция,2009,https://www.imdb.com/title/tt1247640/,6.5
13-й участок,криминальный фильм;драма;экранизация,Мартин Фрич,,1946,https://www.imdb.com/title/tt0168443/,6.8
13-й знак,Ужасы,Джонти Эктон;Адам Мэйсон,Великобритания,2000,https://www.imdb.com/title/tt0263005/,3.1
13-й район,антиутопия;боевик,Пьер Морель,Франция,2004,https://www.imdb.com/title/tt0414852/,7.1
Тринадцатый апостол,фантастический фильм,Сурен Бабаян,СССР,1988,https://www.imdb.com/title/tt0096308/,5.7
13 часов: Тайные солдаты Бенгази,военный;драма;триллер,Майкл Бэй,США,2016,https://www.imdb.com/title/tt4172430/,7.3
13 убийц,боевик,Такаси Миикэ,Япония,2010,https://www.imdb.com/title/tt1436045/,7.5
13 призраков,фильм ужасов,Уильям Касл,США,1960,https://www.imdb.com/title/tt0053559/,6.0
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938,https://www.imdb.com/title/tt0029831/,6.9
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния,2006,https://www.imdb.com/title/tt0809407/,7.3
13 грехов,триллер;фильм ужасов,Даниэль Штамм,США,2014,https://www.imdb.com/title/tt2059171/,6.3
13 дней во Франции,документальный фильм;спортивный фильм,Клод Лелуш;Жиль Ги;Франсуа Рейшенбах,Франция,1968,https://www.imdb.com/title/tt0189330/,6.8
12 стульев,комедия,Леонид Гайдай,СССР,1971,https://www.imdb.com/title/tt0065670/,8.2
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,,2022,https://www.imdb.com/title/tt21199996/,4.4
12 обезьян,фантастика;триллер;драма;антиутопия,Терри Гиллиам,США,1995,https://www.imdb.com/title/tt0114746/,8.0
12 раундов,боевик;триллер;криминал,Ренни Харлин,США,2009,https://www.imdb.com/title/tt1160368/,5.6
12 стульев,телеспектакль,Александр Белинский,СССР,1966,https://www.imdb.com/title/tt1663304/,7.1
12 разгневанных мужчин,юридическая;драма,Сидни Люмет,,1957,https://www.imdb.com/title/tt0050083/,9.0
12 могил Ходжи Насреддина,комедия;сказка,Климентий Минц,СССР,1966,https://www.imdb.com/title/tt5069134/,5.4
12 месяцев. Новая сказка,фильм-сказка;комедия;мелодрама;семейный фильм,Денис Елеонский,,2015,https://www.imdb.com/title/tt5042486/,5.1
12 раундов: Перезагрузка,боевик;триллер,Роэль Рейн,США,2013,https://www.imdb.com/title/tt2317524/,5.3
12 дней террора,ужасы;триллер;драма,Джек Шолдер,ЮАР,2004,https://www.imdb.com/title/tt0373653/,5.5
12 месяцев,комедия,Александр Баршак,Россия,2013,https://www.imdb.com/title/tt2585840/,4.2
12 лет рабства,историческая;драма,Стив Маккуин,США,2013,https://www.imdb.com/title/tt2024544/,8.1
11.6,драма,Филипп Годо,Франция,2013,https://www.imdb.com/title/tt2655788/,5.7
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,,2011,https://www.imdb.com/title/tt1712159/,3.9
«12»,психологический;триллер;юридический;детектив;драма;артхаус,Никита Михалков,Россия,2007,https://www.imdb.com/title/tt0488478/,7.6
10 миль в час,Документальное кино,Хантер Уикс;(англ),США,2007,https://www.imdb.com/title/tt0446083/,6.6
10 на 10,триллер,Сьюзи Юинг,Великобритания,2018,https://www.imdb.com/title/tt6210996/,5.1
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006,https://www.imdb.com/title/tt0499603/,6.5
10 причин моей ненависти,романтическая комедия,Джил Джангер,США,1999,https://www.imdb.com/title/tt0147800/,7.3
